retiro_ID,fecha,year,mes,semestre,estudiante_nombres,estudiante_apellidos,carrera,estudiante_fecha_ingreso,genero,docente_nombres,docente_apellidos,departamento,materia_nombre,uvs,periodo,fecha_inicio,fecha_fin,tipo_retiro,razon_retiro
40,2022-01-29,2022,1,1,Alicia,Vargas,Biología,2018-08-07,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
41,2022-01-30,2022,1,1,Miguel,Suárez,Química,2019-03-20,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
42,2022-01-31,2022,1,1,Carolina,Herrera,Ciencias Sociales,2020-06-02,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
43,2022-01-11,2022,1,1,Antonio,Paredes,Informática,2021-07-15,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
44,2022-01-12,2022,1,1,Mónica,López,Matemática,2018-10-28,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
45,2022-01-13,2022,1,1,Roberto,García,Física,2019-05-11,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Salud
46,2022-01-14,2022,1,1,Sandra,Martínez,Biología,2020-08-24,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
47,2022-01-15,2022,1,1,Felipe,Díaz,Química,2021-01-07,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
48,2022-01-16,2022,1,1,Daniela,Rodríguez,Ciencias Sociales,2018-12-20,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
49,2022-01-17,2022,1,1,Enrique,Castro,Informática,2019-09-03,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Salud
50,2022-01-18,2022,1,1,Patricia,Navarro,Matemática,2020-04-16,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
51,2022-01-19,2022,1,1,Gerardo,Molina,Física,2021-07-29,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
52,2022-01-20,2022,1,1,Adriana,Espinoza,Biología,2018-11-12,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
53,2022-01-21,2022,1,1,Rodrigo,Vázquez,Química,2019-06-25,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
54,2022-01-22,2022,1,1,Verónica,Ortega,Ciencias Sociales,2020-09-08,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
55,2022-01-23,2022,1,1,Jorge,Silva,Informática,2021-02-21,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
56,2022-01-24,2022,1,1,Laura,Gómez,Matemática,2018-07-04,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
57,2022-01-25,2022,1,1,Carlos,Hernández,Física,2019-12-17,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Salud
58,2022-01-26,2022,1,1,Mariana,Reyes,Biología,2020-05-30,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
59,2022-01-27,2022,1,1,Alfonso,Medina,Química,2021-08-13,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
60,2022-01-28,2022,1,1,Claudia,Pérez,Ciencias Sociales,2018-09-26,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
61,2022-01-29,2022,1,1,Francisco,Cortés,Informática,2019-04-09,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Salud
62,2022-01-30,2022,1,1,Gabriela,Ramírez,Matemática,2020-07-22,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
63,2022-01-31,2022,1,1,José Luis,Morales,Física,2021-10-05,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
64,2022-01-11,2022,1,1,Sofía,Campos,Biología,2018-12-18,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
65,2022-01-12,2022,1,1,Manuel,Ortega,Química,2019-07-31,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
66,2022-01-13,2022,1,1,Ana María,Guerrero,Ciencias Sociales,2020-10-14,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
67,2022-01-14,2022,1,1,Ricardo,Méndez,Informática,2021-03-27,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
68,2022-01-15,2022,1,1,Elena,Soto,Matemática,2018-08-10,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
69,2022-01-16,2022,1,1,Fernando,Castillo,Física,2019-01-23,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Salud
70,2022-01-17,2022,1,1,Adriana,Rivera,Biología,2020-04-06,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
71,2022-01-18,2022,1,1,Sergio,Dominguez,Química,2021-09-19,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
72,2022-01-19,2022,1,1,Beatriz,Cervántez,Ciencias Sociales,2018-10-02,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
73,2022-01-20,2022,1,1,Oscar,Fernández,Informática,2019-05-15,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Salud
74,2022-01-21,2022,1,1,Lucía,Herrera,Matemática,2020-08-28,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
75,2022-01-22,2022,1,1,Javier,Gutiérrez,Física,2021-11-11,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
76,2022-01-23,2022,1,1,Alicia,Ríos,Biología,2018-09-24,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
77,2022-01-24,2022,1,1,Miguel,Suárez,Química,2019-04-07,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
78,2022-01-25,2022,1,1,Carolina,Mendoza,Ciencias Sociales,2020-07-20,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
79,2022-01-26,2022,1,1,Antonio,Paredes,Informática,2021-12-03,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
80,2022-01-27,2022,1,1,Mónica,López,Matemática,2018-11-16,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
81,2022-01-28,2022,1,1,Roberto,García,Física,2019-06-29,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Salud
82,2022-01-29,2022,1,1,Sandra,Martínez,Biología,2020-09-12,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
83,2022-01-30,2022,1,1,Felipe,Díaz,Química,2021-02-25,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
84,2022-01-31,2022,1,1,Daniela,Rodríguez,Ciencias Sociales,2018-05-08,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
85,2022-01-11,2022,1,1,Enrique,Castro,Informática,2019-10-21,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Salud
86,2022-01-12,2022,1,1,Patricia,Navarro,Matemática,2020-03-06,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
87,2022-01-13,2022,1,1,Gerardo,Molina,Física,2021-06-19,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
88,2022-01-14,2022,1,1,Adriana,Espinoza,Biología,2018-09-02,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
89,2022-01-15,2022,1,1,Rodrigo,Vázquez,Química,2019-02-15,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Salud
90,2022-01-16,2022,1,1,Verónica,Ortega,Ciencias Sociales,2020-05-28,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
91,2022-02-11,2022,2,1,Alberto,Méndez,Informática,2020-03-15,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
92,2022-02-12,2022,2,1,Isabela,Rodríguez,Matemática,2019-08-22,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
93,2022-02-13,2022,2,1,Rodrigo,Silva,Física,2021-01-05,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Salud
94,2022-02-14,2022,2,1,Valentina,Torres,Biología,2018-11-18,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
95,2022-02-15,2022,2,1,Diego,Hernández,Química,2020-06-30,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
96,2022-02-16,2022,2,1,Sofía,Campos,Ciencias Sociales,2019-09-12,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Salud
97,2022-02-17,2022,2,1,Andrés,Gutiérrez,Informática,2021-04-25,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
98,2022-02-18,2022,2,1,Daniela,Morales,Matemática,2018-12-08,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
99,2022-02-19,2022,2,1,Fernando,Castro,Física,2020-07-21,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
100,2022-02-20,2022,2,1,Adriana,Ríos,Biología,2019-10-04,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Salud
101,2022-02-21,2022,2,1,Javier,Ortega,Química,2021-05-17,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
102,2022-02-22,2022,2,1,Carolina,Vargas,Ciencias Sociales,2018-08-30,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
103,2022-02-23,2022,2,1,Óscar,Navarro,Informática,2020-01-13,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
104,2022-02-24,2022,2,1,Patricia,Díaz,Matemática,2019-06-26,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Salud
105,2022-02-25,2022,2,1,Raúl,Martínez,Física,2021-11-09,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
106,2022-02-26,2022,2,1,Mariana,López,Biología,2018-10-22,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
107,2022-02-27,2022,2,1,Sergio,Flores,Química,2020-03-05,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
108,2022-02-28,2022,2,1,Beatriz,Orozco,Ciencias Sociales,2019-08-18,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Salud
109,2022-02-11,2022,2,1,Enrique,Pérez,Informática,2021-01-31,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
110,2022-02-12,2022,2,1,Lucía,Gómez,Matemática,2018-07-14,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
111,2022-02-13,2022,2,1,Carlos,Hernández,Física,2020-12-27,Masculino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
112,2022-02-14,2022,2,1,Alicia,Reyes,Biología,2019-05-10,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Salud
113,2022-02-15,2022,2,1,Miguel,Suárez,Química,2021-10-23,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
114,2022-02-16,2022,2,1,Claudia,Medina,Ciencias Sociales,2018-09-06,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
115,2022-02-17,2022,2,1,Francisco,Cortés,Informática,2020-02-19,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
116,2022-02-18,2022,2,1,Gabriela,Ramírez,Matemática,2019-07-02,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Salud
117,2022-02-19,2022,2,1,José Luis,Morales,Física,2021-12-15,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
118,2022-02-20,2022,2,1,Sofía,Campos,Biología,2018-11-28,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
119,2022-02-21,2022,2,1,Manuel,Ortega,Química,2020-04-11,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
120,2022-02-22,2022,2,1,Ana María,Guerrero,Ciencias Sociales,2019-09-24,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Salud
121,2022-02-23,2022,2,1,Ricardo,Méndez,Informática,2021-02-07,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
122,2022-02-24,2022,2,1,Elena,Soto,Matemática,2018-07-20,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
123,2022-02-25,2022,2,1,Fernando,Castillo,Física,2020-12-03,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
124,2022-02-26,2022,2,1,Adriana,Rivera,Biología,2019-05-16,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Salud
125,2022-02-27,2022,2,1,Sergio,Dominguez,Química,2021-10-29,Masculino,Gilberto Alcántar,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
126,2022-02-28,2022,2,1,Beatriz,Cervántez,Ciencias Sociales,2018-09-12,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
127,2022-02-11,2022,2,1,Oscar,Fernández,Informática,2020-02-25,Masculino,Luis Gómez,Informática,Informática,Estructuras de Datos,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
128,2022-02-12,2022,2,1,Lucía,Herrera,Matemática,2019-07-08,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Definitivo,Salud
129,2022-03-01,2022,3,1,Juan Carlos,Mendoza,Informática,2019-04-12,Masculino,Luis Gómez,Informática,Informática,Bases de Datos,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
130,2022-03-02,2022,3,1,María Fernanda,González,Matemática,2020-09-25,Femenino,Ana Ramírez,Matemática,Matemática,Álgebra Lineal,5,1,2022-01-11,2022-06-04,Definitivo,Cambio de carrera
131,2022-03-03,2022,3,1,Carlos Andrés,Martínez,Física,2018-12-08,Masculino,Ana Ramírez,Matemática,Matemática,Cálculo I,4,1,2022-01-11,2022-06-04,Temporal,Salud
132,2022-03-04,2022,3,1,Laura Patricia,Sánchez,Biología,2021-03-21,Femenino,Marco Antonio Coronado,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
133,2022-03-05,2022,3,1,Pedro Antonio,Rodríguez,Química,2020-08-14,Masculino,Gabino Iglesias,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
134,2022-03-06,2022,3,1,Ana Sofía,Fernández,Ciencias Sociales,2019-11-27,Femenino,Norma Quintero,Ciencias Sociales,Ciencias Sociales,Sociología,4,1,2022-01-11,2022-06-04,Definitivo,Salud
135,2022-03-07,2022,3,1,Jorge Luis,Díaz,Informática,2021-02-10,Masculino,Luis Gómez,Informática,Informática,Programación Web,3,1,2022-01-11,2022-06-04,Temporal,Cambio de carrera
136,2022-03-08,2022,3,1,Sofía Alejandra,Hernández,Matemática,2018-05-23,Femenino,Ana Ramírez,Matemática,Matemática,Cálculo II,4,1,2022-01-11,2022-06-04,Definitivo,Problemas personales
137,2022-03-09,2022,3,1,Diego Armando,López,Física,2020-10-06,Masculino,Ana Ramírez,Matemática,Matemática,Electromagnetismo,5,1,2022-01-11,2022-06-04,Temporal,Problemas económicos
138,2022-03-10,2022,3,1,Valeria Michelle,Torres,Biología,2021-05-19,Femenino,Graciela Cervántez,Biología,Biología,Genética,4,1,2022-01-11,2022-06-04,Definitivo,Salud
